,movieId,title,userId,rating,timestamp
84712,284,New York Cop (Nyû Yôku no koppu) (1993),8659,3.0,1016041193
159021,526,"Savage Nights (Nuits fauves, Les) (1992)",1284,3.0,1001121192
245083,979,Nothing Personal (1995),7032,3.0,862592356
274388,1140,Entertaining Angels: The Dorothy Day Story (1996),8394,5.0,993364229
460621,2156,"Best Man, The (Testimone dello sposo, Il) (1998)",5708,3.0,959006266
601081,3323,Chain of Fools (2000),5102,4.0,1074630976
610463,3455,Buddy Boy (1999),4289,5.0,980281009
675608,4260,"Visit, The (2000)",10215,1.0,1000434707
699550,4827,"Boogeyman, The (1980)",5620,5.0,1261612475
707339,4952,Morons From Outer Space (1985),5620,5.0,1261620332
726550,5322,World Traveler (2001),6008,3.0,1048524587
726673,5328,Rain (2001),9040,3.0,1237401512
743937,5700,The Pumaman (1980),5620,5.0,1270738033
744168,5767,Teddy Bear (Mis) (1981),3352,3.5,1174007121
746396,5828,Blackrock (1997),1932,2.5,1181787308
746652,5856,"Do You Remember Dolly Bell? (Sjecas li se, Dolly Bell) (1981)",10602,3.5,1202823779
748725,5912,Hit the Bank (Vabank) (1981),3140,4.0,1270922920
748772,5929,"Party 2, The (Boum 2, La) (1982)",8877,5.0,1185818674
755771,6009,"City of Lost Souls, The (Hyôryuu-gai) (2000)",1888,3.5,1089266427
757636,6145,Venom (1982),5620,5.0,1261672444
760290,6246,Talent for the Game (1991),8659,3.5,1104781534
762314,6310,Memories of Me (1988),8659,2.0,1049658214
763799,6342,"Trip, The (2002)",4294,4.0,1078679009
768268,6415,Intervista (1987),8659,3.5,1054316773
768659,6449,From the Terrace (1960),8659,3.0,1054316255
768784,6465,Jubilee (1977),741,3.5,1464239414
774049,6588,And Now... Ladies and Gentlemen... (2002),8659,3.5,1115704298
779664,6804,Crimewave (1985),8659,3.0,1064254459
787070,6962,OT: Our Town (2002),9788,3.5,1125600630
791408,7131,"Summer Place, A (1959)",8659,2.5,1070407950
796686,7192,Only the Strong (1993),741,3.5,1401415447
798038,7262,Catch That Kid (2004),457,2.0,1497478116
798131,7264,An Amazing Couple (2002),5243,2.5,1147106452
798197,7282,"Hip Hop Witch, Da (2000)",10296,0.5,1343234507
798293,7292,Best Defense (1984),4160,2.0,1075747467
798860,7312,"Follow Me, Boys! (1966)",8659,3.5,1075667490
799819,7336,"Damned, The (La Caduta degli dei) (1969)",6513,2.0,1146083645
799830,7344,"Wrong Arm of the Law, The (1963)",8659,4.0,1078175767
803164,7390,Prey for Rock & Roll (2003),8659,3.0,1123530092
803219,7411,Munchies (1987),5726,2.0,1175111021
808376,7920,Desperate Living (1977),4351,4.0,1474224792
810359,8236,While the City Sleeps (1956),8659,3.5,1085347677
814819,8506,Fear X (2003),6894,3.0,1471161453
820626,8748,"Yesterday, Today and Tomorrow (Ieri, oggi, domani) (1963)",8659,3.5,1090353906
830825,25887,Tales of Manhattan (1942),8659,3.5,1370555307
831315,26159,Tokyo Drifter (Tôkyô nagaremono) (1966),3140,3.5,1270921419
831574,26357,Trilogy of Terror (1975),741,2.5,1499644520
831634,26399,Five Deadly Venoms (1978),3140,3.5,1268312217
831748,26498,Boy Meets Girl (1984),7040,2.5,1446506494
831801,26542,Ewoks: The Battle for Endor (1985),4916,3.5,1435467181
831943,26590,G.I. Joe: The Movie (1987),4916,3.0,1435549205
832658,26761,Prime Suspect 2 (1992),8659,3.5,1346883416
832659,26764,Captain America (1990),4916,2.5,1435464503
832660,26765,City Hunter (Sing si lip yan) (1993),7386,3.0,1381770027
832766,26777,"Stolen Children (Ladro di bambini, Il) (1992)",3910,2.5,1237214059
832892,26861,Freaked (1993),5620,5.0,1262296367
833027,26958,Emma (1996),9974,3.5,1494211284
833199,27105,Purgatory (1999),8659,3.5,1397610546
833211,27140,Candyman 3: Day of the Dead (1999),4916,3.5,1435550358
833699,27539,Undertaking Betty (Plots with a View) (2002),4161,4.5,1476058866
833802,27595,Jesus Christ Vampire Hunter (2001),3140,2.0,1413496761
834477,27708,Helen of Troy (2003),5139,0.5,1268935373
834731,27769,Down to the Bone (2004),7827,2.5,1369279880
835205,27776,Red Lights (Feux rouges) (2004),8659,3.5,1193684047
835892,27830,"Bobby Jones, Stroke of Genius (2004)",1576,3.5,1159830524
839512,30994,Little Miss Marker (1980),8659,2.0,1103919415
840378,31610,Purple Butterfly (Zi hudie) (2003),3506,3.0,1285107885
841116,31692,Uncle Nino (2003),8659,3.5,1241121376
841503,31737,Bunny Lake Is Missing (1965),8659,3.0,1107681347
841819,31921,"Seven-Per-Cent Solution, The (1976)",8659,3.0,1263341212
842356,32294,Milk and Honey (2003),3230,0.5,1230974292
842480,32314,Incident at Loch Ness (2004),8659,3.0,1231208586
842497,32440,If Looks Could Kill (1991),5641,1.5,1468010695
842550,32511,"Touch of Zen, A (Xia nu) (1971)",2520,5.0,1462299155
843737,32906,"Ascent, The (Voskhozhdeniye) (1977)",7016,4.0,1257352908
844185,33090,Mutant Aliens (2001),3697,4.5,1373742156
844241,33148,King's Ransom (2005),8381,1.5,1197932762
845036,33310,"Common Thread, A (a.k.a. Sequins) (Brodeuses) (2004)",1386,3.0,1240429444
845056,33435,Los Angeles Plays Itself (2003),9717,3.5,1409942507
848393,33801,Godzilla: Final Wars (Gojira: Fainaru uôzu) (2004),4916,3.5,1435455307
850491,34330,November (2004),8101,3.5,1197959742
851321,34450,Miracles - Mr. Canton and Lady Rose (1989),9199,2.0,1493728098
851661,34800,Private Resort (1985),7970,3.0,1286200730
851697,35807,"Teahouse of the August Moon, The (1956)",8659,3.0,1356762889
856855,39801,"Great Yokai War, The (Yôkai daisensô) (2005)",8624,3.0,1274085909
860905,42176,"Ear, The (Ucho) (1970)",4494,5.0,1414209402
861666,43549,Helter Skelter (2004),5620,4.5,1262219758
864927,44597,Youth of the Beast (Yaju no seishun) (1963),6390,0.5,1309816947
865722,44851,Go for Zucker! (Alles auf Zucker!) (2004),5527,5.0,1456766206
867944,45648,Game 6 (2005),8659,3.0,1257803156
869869,46105,I Am a Sex Addict (2005),9040,2.0,1262061436
870075,46367,"Public Eye, The (1992)",8659,2.5,1257207779
874699,48214,Land of Plenty (Angst and Alienation in America) (2004),7144,4.0,1209477850
877454,48638,Fellini's Casanova (Il Casanova di Federico Fellini) (1976),8659,3.0,1243460479
881762,49735,Another Gay Movie (2006),5527,4.0,1369806736
882342,50354,The Return of Don Camillo (1953),8659,3.5,1168303629
882343,50356,The Little World of Don Camillo (1952),8659,4.0,1168303664
882494,50610,Beer League (2006),4916,3.5,1435498004
883746,50999,"Ugly Duckling and Me!, The (2006)",5620,3.5,1262540661
883955,51082,Tyler Perry's Daddy's Little Girls (2007),7581,4.0,1284016934
884202,51167,My Father and My Son (Babam ve oglum) (2005),8794,4.0,1468568001
897285,55294,Weirdsville (2007),5342,3.5,1280926761
899082,55844,Itty Bitty Titty Committee (2007),7341,5.0,1471727407
904995,58287,Descent (2007),7028,3.0,1244216762
907558,58842,Assembly (Ji jie hao) (2007) ,4387,3.0,1445030837
916380,62008,Dead Fury (2008),5620,4.5,1262097474
916612,62299,Alone in the Dark II (2008),5620,5.0,1261937022
918891,63179,Tokyo! (2008),3803,4.0,1450664937
922594,65350,"General Died at Dawn, The (1936)",8659,3.5,1231746132
925013,67888,Man on the Flying Trapeze (1935),8659,3.5,1239995229
927613,68480,Flatfoot on the Nile (Piedone d'Egitto) (1980),2555,3.5,1242573018
928196,68872,Paisan (Paisà) (1946),8659,3.5,1243356832
929958,69211,Boy Eats Girl (2005),5620,4.0,1262453060
931174,69720,Hood of Horror (2006),5620,5.0,1262375204
933447,70492,Winds of the Wasteland (1936),8659,3.0,1250632229
933683,70990,If These Walls Could Talk (1996),755,2.0,1262901540
934095,71147,Death of a Cyclist (Muerte de un ciclista) (1955),5523,4.0,1431339705
934728,71453,"Blood of the Beasts (Sang des bêtes, Le) (1949)",2306,0.5,1435860873
935763,71640,Burma VJ: Reporting from a Closed Country (Burma VJ: Reporter i et lukket land) (2008),4233,3.5,1280531606
936498,72178,Welcome to Dongmakgol (2005),4387,4.5,1445030750
936761,72330,"Private Lives of Pippa Lee, The (2009)",3140,3.0,1272959267
937313,72624,Garage (2007),10434,4.0,1318696266
940019,73741,Ninja (2009),4916,4.0,1435580734
940044,73822,Meantime (1984),8659,3.0,1264037989
940071,73858,"Dennis the Menace Christmas, A (2007)",7642,3.5,1314214979
940349,74342,"Captain Newman, M.D. (1963)",8659,3.0,1266004009
941398,74683,Mike Bassett: England Manager (2001),4387,4.5,1445030753
942158,75947,Mondo Cane (1962),8659,3.0,1269668198
943518,76751,American Drug War: The Last White Hope (2007),567,4.0,1490189819
944318,77841,St Trinian's 2: The Legend of Fritton's Gold (2009),9974,2.5,1494211495
944436,77931,Stingray Sam (2009),5620,3.0,1289226114
945738,78620,"Scalphunters, The (1968)",8659,3.0,1277402684
945739,78626,Barking Dogs Never Bite (Flandersui gae) (2000),3761,4.0,1460921114
950523,80584,"Patrik Age 1.5 (Patrik 1,5) (2008)",9702,4.0,1348058531
952422,81681,I Shot Jesse James (1949),8659,3.0,1289327736
954108,82088,Vincent Wants to Sea (Vincent will meer) (2010),2144,3.5,1295829747
955039,82857,Sweetgrass (2009),2639,3.0,1335928009
955462,83796,Anything for Her (Pour elle) (2008),3810,4.0,1310931423
955486,83827,Marwencol (2010),3780,3.0,1304380469
955495,83969,Down Argentine Way (1940),8659,3.0,1296440761
956086,84512,Girls About Town (1931),8659,3.0,1321568843
956087,84523,Kill! (Kiru) (1968),2520,4.0,1462120095
956088,84553,Pekka ja Pätkä salapoliiseina (1957),5332,2.0,1395485064
956352,84799,"Asphyx, The (1973)",741,2.5,1426447962
957026,85334,Hard Ticket to Hawaii (1987),930,1.5,1463606396
958012,86066,Playing the Victim (Izobrazhaya zhertvu) (2006),6949,4.0,1314711615
958133,86286,Daffy Duck's Quackbusters (1988),4916,3.5,1435454814
959003,86593,African Cats (2011),4196,3.5,1334353733
959103,86721,Idiots and Angels (2008),5953,2.0,1432706271
959335,86864,Mothra (Mosura) (1961),4160,3.5,1433388483
959952,86960,Across the Hall (2009),4387,3.5,1445030841
960560,87287,American Grindhouse (2010),741,3.5,1319599568
960809,87413,Bernie (1996),1572,3.5,1470335392
962769,88272,"Woman, The (2011)",4932,1.5,1411558719
