,movieId,title,userId,rating,timestamp
2378,49,When Night Is Falling (1995),202,3.0,974925453
2616,55,Georgia (1995),84,4.0,858772543
2967,77,Nico Icon (1995),603,4.0,954482106
3012,83,Once Upon a Time... When We Were Colored (1995),214,3.0,853938185
3179,96,In the Bleak Midwinter (1995),474,3.5,1053020997
3359,106,Nobody Loves Me (Keiner liebt mich) (1994),4,4.0,986848784
3386,108,Catwalk (1996),603,4.0,954482070
3782,117,"Young Poisoner's Handbook, The (1995)",604,3.0,832080636
3828,128,Jupiter's Wife (1994),260,3.0,1109410370
3829,129,Pie in the Sky (1996),290,2.0,974937943
3867,137,Man of the Year (1995),609,3.0,847221054
4051,148,"Awfully Big Adventure, An (1995)",191,5.0,829760897
4052,149,Amateur (1994),603,2.0,963179615
5220,178,Love & Human Remains (1993),191,1.0,829760898
5456,189,Reckless (1995),6,3.0,845556241
5608,201,Three Wishes (1995),6,3.0,845556290
5609,202,Total Eclipse (1995),606,3.0,1172015598
5922,219,"Cure, The (1995)",6,3.0,845556131
5923,220,Castle Freak (1995),604,3.0,832080636
6528,241,Fluke (1995),607,4.0,964744490
6534,243,Gordy (1995),6,3.0,845555588
6781,254,Jefferson in Paris (1995),6,3.0,845555655
7167,263,Ladybird Ladybird (1994),606,4.0,1171328200
7503,284,New York Cop (Nyû Yôku no koppu) (1993),594,4.5,1108975148
7504,285,Beyond Bedlam (1993),604,4.0,832080636
7505,287,Nina Takes a Lover (1994),84,3.0,858772239
7859,295,"Pyromaniac's Love Story, A (1995)",19,3.0,965708038
8167,298,Pushing Hands (Tui shou) (1992),275,2.0,1049076725
8253,301,Picture Bride (Bijo photo) (1994),603,4.0,954482713
8363,310,Rent-a-Kid (1995),6,3.0,845556119
8364,311,Relative Fear (1994),604,3.0,832080690
8989,320,Suture (1993),603,3.0,953925390
9002,324,"Sum of Us, The (1994)",84,4.0,860397228
9242,336,"Walking Dead, The (1995)",6,3.0,845556223
10460,359,I Like It Like That (1994),6,3.0,845556412
11546,385,"Man of No Importance, A (1994)",33,4.0,939716559
11547,386,S.F.W. (1994),414,3.0,961518708
11561,391,Jason's Lyric (1994),47,4.5,1496206564
11584,406,Federal Hill (1994),84,3.0,860399107
11595,409,Above the Rim (1994),307,2.0,1186084446
12448,449,Fear of a Black Hat (1994),500,1.0,1005528017
12456,451,Flesh and Bone (1993),469,4.0,965333419
12885,467,Live Nude Girls (1995),492,5.0,863976567
12913,470,House Party 3 (1994),294,1.0,966597212
13062,476,"Inkwell, The (1994)",266,1.0,945669205
13080,478,Jimmy Hollywood (1994),599,2.5,1498515125
13412,488,M. Butterfly (1993),474,3.0,1047569232
13520,495,In the Realm of the Senses (Ai no corrida) (1976),603,5.0,953927108
13521,496,What Happened Was... (1994),191,5.0,829760898
13883,510,Poetic Justice (1993),6,3.0,845555546
14105,526,"Savage Nights (Nuits fauves, Les) (1992)",603,4.0,963180075
15151,563,Germinal (1993),606,4.0,1171324691
